reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	type	genomic_info_id	file.file_id	instrument_model
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce58370-c9b2-11ed-800f-736447545eb5	dg.4DFC/9ce58370-c9b2-11ed-800f-736447545eb5	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce5cb8c-c9b2-11ed-aaed-77e263294a02	dg.4DFC/9ce5cb8c-c9b2-11ed-aaed-77e263294a02	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce60b06-c9b2-11ed-bedb-6b75dcd34c95	dg.4DFC/9ce60b06-c9b2-11ed-bedb-6b75dcd34c95	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce64d46-c9b2-11ed-a000-e78d54b1d3c0	dg.4DFC/9ce64d46-c9b2-11ed-a000-e78d54b1d3c0	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce68da6-c9b2-11ed-9ddb-7f4ff78405bf	dg.4DFC/9ce68da6-c9b2-11ed-9ddb-7f4ff78405bf	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce6cda2-c9b2-11ed-9ac9-17b6dd12b2a4	dg.4DFC/9ce6cda2-c9b2-11ed-9ac9-17b6dd12b2a4	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce70d1c-c9b2-11ed-b9f6-87e4694b0582	dg.4DFC/9ce70d1c-c9b2-11ed-b9f6-87e4694b0582	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce74c5a-c9b2-11ed-a44c-1b3eb46da4fc	dg.4DFC/9ce74c5a-c9b2-11ed-a44c-1b3eb46da4fc	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce7903e-c9b2-11ed-ab75-8b9abf6ac36b	dg.4DFC/9ce7903e-c9b2-11ed-ab75-8b9abf6ac36b	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce7ced2-c9b2-11ed-83c4-9f4a2e8b5a2d	dg.4DFC/9ce7ced2-c9b2-11ed-83c4-9f4a2e8b5a2d	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce8107c-c9b2-11ed-82ba-8b4f6e84f122	dg.4DFC/9ce8107c-c9b2-11ed-82ba-8b4f6e84f122	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce856ea-c9b2-11ed-a244-4372a61740a1	dg.4DFC/9ce856ea-c9b2-11ed-a244-4372a61740a1	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce89614-c9b2-11ed-b4b4-cbc0ca377a5a	dg.4DFC/9ce89614-c9b2-11ed-b4b4-cbc0ca377a5a	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce8d7dc-c9b2-11ed-ba8c-d36251e74518	dg.4DFC/9ce8d7dc-c9b2-11ed-ba8c-d36251e74518	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce91828-c9b2-11ed-b791-f35706dbef6e	dg.4DFC/9ce91828-c9b2-11ed-b791-f35706dbef6e	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce95914-c9b2-11ed-9510-6f737155749d	dg.4DFC/9ce95914-c9b2-11ed-9510-6f737155749d	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce9980c-c9b2-11ed-aceb-072d3419b817	dg.4DFC/9ce9980c-c9b2-11ed-aceb-072d3419b817	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ce9d74a-c9b2-11ed-a8f4-2f40a63f0613	dg.4DFC/9ce9d74a-c9b2-11ed-a8f4-2f40a63f0613	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cea16e2-c9b2-11ed-9740-3326b26b4686	dg.4DFC/9cea16e2-c9b2-11ed-9740-3326b26b4686	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cea5648-c9b2-11ed-9b04-0bc7251a044a	dg.4DFC/9cea5648-c9b2-11ed-9b04-0bc7251a044a	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cea9af4-c9b2-11ed-be24-37e11c58e1ea	dg.4DFC/9cea9af4-c9b2-11ed-be24-37e11c58e1ea	Not specified in data
GRCh37-lite	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cead988-c9b2-11ed-85f9-2b20a159112b	dg.4DFC/9cead988-c9b2-11ed-85f9-2b20a159112b	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ceb1a88-c9b2-11ed-b092-03baa590855a	dg.4DFC/9ceb1a88-c9b2-11ed-b092-03baa590855a	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ceb5c46-c9b2-11ed-b7b8-dbd418d9c1e5	dg.4DFC/9ceb5c46-c9b2-11ed-b7b8-dbd418d9c1e5	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ceb9bb6-c9b2-11ed-b062-2fb40ac6a376	dg.4DFC/9ceb9bb6-c9b2-11ed-b062-2fb40ac6a376	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cebe2ba-c9b2-11ed-801c-8795661255af	dg.4DFC/9cebe2ba-c9b2-11ed-801c-8795661255af	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cec22fc-c9b2-11ed-8132-07e1fd8a1f47	dg.4DFC/9cec22fc-c9b2-11ed-8132-07e1fd8a1f47	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cec6618-c9b2-11ed-8e43-a7522e819415	dg.4DFC/9cec6618-c9b2-11ed-8e43-a7522e819415	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ceca4ac-c9b2-11ed-9dc2-b77930c80d6b	dg.4DFC/9ceca4ac-c9b2-11ed-9dc2-b77930c80d6b	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cece3cc-c9b2-11ed-b0e6-e3cbd8ff49b4	dg.4DFC/9cece3cc-c9b2-11ed-b0e6-e3cbd8ff49b4	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ced2ddc-c9b2-11ed-822d-87e3a7414694	dg.4DFC/9ced2ddc-c9b2-11ed-822d-87e3a7414694	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ced6d24-c9b2-11ed-a621-67696a3dac5d	dg.4DFC/9ced6d24-c9b2-11ed-a621-67696a3dac5d	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cedb004-c9b2-11ed-8c6d-e7d48920a504	dg.4DFC/9cedb004-c9b2-11ed-8c6d-e7d48920a504	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cedef88-c9b2-11ed-a2f0-6bfebddd039c	dg.4DFC/9cedef88-c9b2-11ed-a2f0-6bfebddd039c	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cee333a-c9b2-11ed-ab54-dbe44136ffa8	dg.4DFC/9cee333a-c9b2-11ed-ab54-dbe44136ffa8	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cee7232-c9b2-11ed-8930-87f83b7526a9	dg.4DFC/9cee7232-c9b2-11ed-8930-87f83b7526a9	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ceeb102-c9b2-11ed-88be-2f44cf145e44	dg.4DFC/9ceeb102-c9b2-11ed-88be-2f44cf145e44	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ceef266-c9b2-11ed-a321-dfe7788859c9	dg.4DFC/9ceef266-c9b2-11ed-a321-dfe7788859c9	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cef342e-c9b2-11ed-b996-7b0c564c2734	dg.4DFC/9cef342e-c9b2-11ed-b996-7b0c564c2734	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cef743e-c9b2-11ed-91d0-53636c4061d8	dg.4DFC/9cef743e-c9b2-11ed-91d0-53636c4061d8	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cefb3c2-c9b2-11ed-ad39-fb47368f1858	dg.4DFC/9cefb3c2-c9b2-11ed-ad39-fb47368f1858	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9ceff3c8-c9b2-11ed-b16c-dbf835087bbf	dg.4DFC/9ceff3c8-c9b2-11ed-b16c-dbf835087bbf	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf03388-c9b2-11ed-89a8-e31043303e1b	dg.4DFC/9cf03388-c9b2-11ed-89a8-e31043303e1b	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf07262-c9b2-11ed-bc87-9ff2c04d3377	dg.4DFC/9cf07262-c9b2-11ed-bc87-9ff2c04d3377	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf0b3bc-c9b2-11ed-a26d-3f91b7ce3f9e	dg.4DFC/9cf0b3bc-c9b2-11ed-a26d-3f91b7ce3f9e	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf0f318-c9b2-11ed-909e-93b191ab75d2	dg.4DFC/9cf0f318-c9b2-11ed-909e-93b191ab75d2	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf13346-c9b2-11ed-a8cc-8b97696d2e32	dg.4DFC/9cf13346-c9b2-11ed-a8cc-8b97696d2e32	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf1720c-c9b2-11ed-80f5-479da3913eb8	dg.4DFC/9cf1720c-c9b2-11ed-80f5-479da3913eb8	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf1b172-c9b2-11ed-8819-fb5fe862b183	dg.4DFC/9cf1b172-c9b2-11ed-8819-fb5fe862b183	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf1f4f2-c9b2-11ed-bece-9b66f9f78fff	dg.4DFC/9cf1f4f2-c9b2-11ed-bece-9b66f9f78fff	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf23368-c9b2-11ed-b404-3710365fffa9	dg.4DFC/9cf23368-c9b2-11ed-b404-3710365fffa9	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf2749a-c9b2-11ed-a30e-2b75ca23b093	dg.4DFC/9cf2749a-c9b2-11ed-a30e-2b75ca23b093	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf2b31a-c9b2-11ed-8fea-9f5fb5924010	dg.4DFC/9cf2b31a-c9b2-11ed-8fea-9f5fb5924010	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf2f21c-c9b2-11ed-809a-b38dc8b90bdd	dg.4DFC/9cf2f21c-c9b2-11ed-809a-b38dc8b90bdd	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf338a8-c9b2-11ed-a6df-4f542431d76f	dg.4DFC/9cf338a8-c9b2-11ed-a6df-4f542431d76f	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf377b4-c9b2-11ed-b028-d741bf1d02fc	dg.4DFC/9cf377b4-c9b2-11ed-b028-d741bf1d02fc	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf3b8b4-c9b2-11ed-b290-739964f9592e	dg.4DFC/9cf3b8b4-c9b2-11ed-b290-739964f9592e	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf3f87e-c9b2-11ed-a1b9-1733e212f290	dg.4DFC/9cf3f87e-c9b2-11ed-a1b9-1733e212f290	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf43758-c9b2-11ed-82e6-1fc34e87ada2	dg.4DFC/9cf43758-c9b2-11ed-82e6-1fc34e87ada2	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf4775e-c9b2-11ed-bdbb-1fb1c20ee76f	dg.4DFC/9cf4775e-c9b2-11ed-bdbb-1fb1c20ee76f	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf4b66a-c9b2-11ed-a720-b3d7a4a11709	dg.4DFC/9cf4b66a-c9b2-11ed-a720-b3d7a4a11709	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf4f756-c9b2-11ed-b689-9bd083e989ef	dg.4DFC/9cf4f756-c9b2-11ed-b689-9bd083e989ef	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf53626-c9b2-11ed-a2e2-df48782b4e69	dg.4DFC/9cf53626-c9b2-11ed-a2e2-df48782b4e69	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf57820-c9b2-11ed-a807-2398ef61e3c2	dg.4DFC/9cf57820-c9b2-11ed-a807-2398ef61e3c2	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf5b736-c9b2-11ed-a978-4fece44dfd44	dg.4DFC/9cf5b736-c9b2-11ed-a978-4fece44dfd44	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf5f5ca-c9b2-11ed-b86d-37dacfb421d7	dg.4DFC/9cf5f5ca-c9b2-11ed-b86d-37dacfb421d7	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf64250-c9b2-11ed-845a-bbe79a31c64d	dg.4DFC/9cf64250-c9b2-11ed-845a-bbe79a31c64d	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf6818e-c9b2-11ed-b569-230e295c8b51	dg.4DFC/9cf6818e-c9b2-11ed-b569-230e295c8b51	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf6c7e8-c9b2-11ed-8b82-cb751c4e01cb	dg.4DFC/9cf6c7e8-c9b2-11ed-8b82-cb751c4e01cb	Not specified in data
GRCh37-lite	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf70794-c9b2-11ed-bf6c-536b54584019	dg.4DFC/9cf70794-c9b2-11ed-bf6c-536b54584019	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf74a6a-c9b2-11ed-bffe-e7440c3766ca	dg.4DFC/9cf74a6a-c9b2-11ed-bffe-e7440c3766ca	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf78a52-c9b2-11ed-9aa5-df2cecc678d4	dg.4DFC/9cf78a52-c9b2-11ed-9aa5-df2cecc678d4	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf7c9e0-c9b2-11ed-aa45-279cc7e1c933	dg.4DFC/9cf7c9e0-c9b2-11ed-aa45-279cc7e1c933	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf809d2-c9b2-11ed-ae60-3ba9723b2695	dg.4DFC/9cf809d2-c9b2-11ed-ae60-3ba9723b2695	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf84938-c9b2-11ed-ae09-c368cc0f34f1	dg.4DFC/9cf84938-c9b2-11ed-ae09-c368cc0f34f1	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf88dda-c9b2-11ed-aa0a-43991de13662	dg.4DFC/9cf88dda-c9b2-11ed-aa0a-43991de13662	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf8ccf0-c9b2-11ed-80ee-7ba89d33df64	dg.4DFC/9cf8ccf0-c9b2-11ed-80ee-7ba89d33df64	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf90c42-c9b2-11ed-a785-e727bea0eee5	dg.4DFC/9cf90c42-c9b2-11ed-a785-e727bea0eee5	Not specified in data
GRCh37-lite	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf94d2e-c9b2-11ed-b875-7bd26b851814	dg.4DFC/9cf94d2e-c9b2-11ed-b875-7bd26b851814	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf98c80-c9b2-11ed-90ae-7315d1585019	dg.4DFC/9cf98c80-c9b2-11ed-90ae-7315d1585019	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cf9d0c8-c9b2-11ed-83a6-83efe3211c1d	dg.4DFC/9cf9d0c8-c9b2-11ed-83a6-83efe3211c1d	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfa113c-c9b2-11ed-8358-770c884f70af	dg.4DFC/9cfa113c-c9b2-11ed-8358-770c884f70af	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfa5020-c9b2-11ed-b2e4-dfd23f697994	dg.4DFC/9cfa5020-c9b2-11ed-b2e4-dfd23f697994	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfa926a-c9b2-11ed-b128-37838c0ce60f	dg.4DFC/9cfa926a-c9b2-11ed-b128-37838c0ce60f	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfad11c-c9b2-11ed-8d40-5f3a40213b3b	dg.4DFC/9cfad11c-c9b2-11ed-8d40-5f3a40213b3b	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfb15d2-c9b2-11ed-bb0a-47ddff02eb34	dg.4DFC/9cfb15d2-c9b2-11ed-bb0a-47ddff02eb34	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfb5470-c9b2-11ed-9aab-abecd65a65e8	dg.4DFC/9cfb5470-c9b2-11ed-9aab-abecd65a65e8	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfb9bec-c9b2-11ed-ae26-eb98bc3b6f45	dg.4DFC/9cfb9bec-c9b2-11ed-ae26-eb98bc3b6f45	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfbdada-c9b2-11ed-b197-8b8596af5c34	dg.4DFC/9cfbdada-c9b2-11ed-b197-8b8596af5c34	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfc19fa-c9b2-11ed-8592-a795555ae822	dg.4DFC/9cfc19fa-c9b2-11ed-8592-a795555ae822	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfc5bfe-c9b2-11ed-bd0a-433d1d220f99	dg.4DFC/9cfc5bfe-c9b2-11ed-bd0a-433d1d220f99	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfc9baa-c9b2-11ed-bd66-c39efa561d3a	dg.4DFC/9cfc9baa-c9b2-11ed-bd66-c39efa561d3a	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfcdbd8-c9b2-11ed-910e-1717a0219589	dg.4DFC/9cfcdbd8-c9b2-11ed-910e-1717a0219589	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfd1c74-c9b2-11ed-a2a7-d3de046f4420	dg.4DFC/9cfd1c74-c9b2-11ed-a2a7-d3de046f4420	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfd5bf8-c9b2-11ed-8d84-97c2b233b437	dg.4DFC/9cfd5bf8-c9b2-11ed-8d84-97c2b233b437	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfd9bf4-c9b2-11ed-a3fa-d7c2393496d1	dg.4DFC/9cfd9bf4-c9b2-11ed-a3fa-d7c2393496d1	Not specified in data
GRCh37-lite	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfddbbe-c9b2-11ed-b243-43dab43603b2	dg.4DFC/9cfddbbe-c9b2-11ed-b243-43dab43603b2	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfe1ce6-c9b2-11ed-ba3d-efc30a8118c2	dg.4DFC/9cfe1ce6-c9b2-11ed-ba3d-efc30a8118c2	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfe5b7a-c9b2-11ed-a1c4-0bf678d270dd	dg.4DFC/9cfe5b7a-c9b2-11ed-a1c4-0bf678d270dd	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfe9b44-c9b2-11ed-b0a1-6366f254b5af	dg.4DFC/9cfe9b44-c9b2-11ed-b0a1-6366f254b5af	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cfeda00-c9b2-11ed-8670-0fd1b5cbfdc1	dg.4DFC/9cfeda00-c9b2-11ed-8670-0fd1b5cbfdc1	Not specified in data
GRCh37-lite	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cff1876-c9b2-11ed-84a2-1fc97e7d04c8	dg.4DFC/9cff1876-c9b2-11ed-84a2-1fc97e7d04c8	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cff5b92-c9b2-11ed-b12a-475701b3e99e	dg.4DFC/9cff5b92-c9b2-11ed-b12a-475701b3e99e	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cff9a6c-c9b2-11ed-8164-5fbb5f940dcd	dg.4DFC/9cff9a6c-c9b2-11ed-8164-5fbb5f940dcd	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9cffdb76-c9b2-11ed-a973-57ce46fc1f72	dg.4DFC/9cffdb76-c9b2-11ed-a973-57ce46fc1f72	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9d001bea-c9b2-11ed-af73-a35e605dd38d	dg.4DFC/9d001bea-c9b2-11ed-af73-a35e605dd38d	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9d021940-c9b2-11ed-9f14-ff56a9e1e2d7	dg.4DFC/9d021940-c9b2-11ed-9f14-ff56a9e1e2d7	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9d025f4a-c9b2-11ed-9bbc-43ff7db303dc	dg.4DFC/9d025f4a-c9b2-11ed-9bbc-43ff7db303dc	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9d02a072-c9b2-11ed-a1a6-cfc29c8fad9a	dg.4DFC/9d02a072-c9b2-11ed-a1a6-cfc29c8fad9a	Not specified in data
