library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
TB-000030-M1BBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000030-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/3448713a-ffa5-45bb-91b1-76d9b667aa10_TB-000030-M1BBLL-01_WGS	dg.4DFC/3448713a-ffa5-45bb-91b1-76d9b667aa10
TB-000031-M2WBLL-01_WES	884522976	110565372	8.0	0.285165501	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/8554cd55-6cd7-41cf-845e-5549ce00ef1c_TB-000031-M2WBLL-01_WES	dg.4DFC/8554cd55-6cd7-41cf-845e-5549ce00ef1c
TB-000031-M2WBLL-01_WES	16695371172	110565372	151.0	5.382498822	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/b6ea2fe6-299b-444e-ae43-f3bd23bf2fbb_TB-000031-M2WBLL-01_WES	dg.4DFC/b6ea2fe6-299b-444e-ae43-f3bd23bf2fbb
TB-000031-M2WBLL-01_WES	16695371172	110565372	151.0	5.382498822	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/d0ed30a0-30d2-430a-b68f-3424bd80e3da_TB-000031-M2WBLL-01_WES	dg.4DFC/d0ed30a0-30d2-430a-b68f-3424bd80e3da
TB-000031-M2WBLL-01_WGS	59936499158	396930458	151.0	19.32320838	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/a8d051e0-e9ef-4b16-a0df-a72d47c6e79e_TB-000031-M2WBLL-01_WGS	dg.4DFC/a8d051e0-e9ef-4b16-a0df-a72d47c6e79e
TB-000031-M2WBLL-01_WGS	59936499158	396930458	151.0	19.32320838	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/eb8d523a-a40f-40ab-ba6a-21a13a9cc3e7_TB-000031-M2WBLL-01_WGS	dg.4DFC/eb8d523a-a40f-40ab-ba6a-21a13a9cc3e7
TB-000031-M2WBLL-01_WES	29136787406	219375347	132.8170544	9.39354521	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/df932205-1ee9-4fcc-9e16-46bafee90534_TB-000031-M2WBLL-01_WES	dg.4DFC/df932205-1ee9-4fcc-9e16-46bafee90534
TB-000031-M2WBLL-01_WGS	113000000000	751910716	150.02244	36.36724177	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/89a0a36a-0cb9-4c9c-bc44-720d959ff14f_TB-000031-M2WBLL-01_WGS	dg.4DFC/89a0a36a-0cb9-4c9c-bc44-720d959ff14f
TB-000031-M2WBLL-01_WES	29136787406	219375347	132.8170544	9.39354521	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/31544495-9f9c-42d0-bb75-734608502e84_TB-000031-M2WBLL-01_WES	dg.4DFC/31544495-9f9c-42d0-bb75-734608502e84
TB-000031-M2WBLL-01_WGS	113000000000	751910716	150.02244	36.36724177	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/3033a871-e734-4c73-9fcc-521ad17124d7_TB-000031-M2WBLL-01_WGS	dg.4DFC/3033a871-e734-4c73-9fcc-521ad17124d7
TB-000031-M2WBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/31b2057c-fcd7-4f4b-a2d0-1963dddac516_TB-000031-M2WBLL-01_WES	dg.4DFC/31b2057c-fcd7-4f4b-a2d0-1963dddac516
TB-000031-M2WBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/6ede4616-d9ed-4a1e-a7da-4b89ec2a64b0_TB-000031-M2WBLL-01_WGS	dg.4DFC/6ede4616-d9ed-4a1e-a7da-4b89ec2a64b0
TB-000031-M2WBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/45269c5b-efdf-43cd-aa1f-76090ed3c635_TB-000031-M2WBLL-01_WES	dg.4DFC/45269c5b-efdf-43cd-aa1f-76090ed3c635
TB-000031-M2WBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Normal Sample TB-000031-M2WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/b30a52fc-55e1-4472-a021-a34b975b5e71_TB-000031-M2WBLL-01_WGS	dg.4DFC/b30a52fc-55e1-4472-a021-a34b975b5e71
TB-000031-R1WBLL-01_WES	1023305640	127913205	8.0	0.329908293	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/1f043ef8-9f58-4c49-9349-29a07a7f231f_TB-000031-R1WBLL-01_WES	dg.4DFC/1f043ef8-9f58-4c49-9349-29a07a7f231f
TB-000031-R1WBLL-01_WES	19314893955	127913205	151.0	6.227019028	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/b5a69a24-05cd-45c6-b108-e1130286fcee_TB-000031-R1WBLL-01_WES	dg.4DFC/b5a69a24-05cd-45c6-b108-e1130286fcee
TB-000031-R1WBLL-01_WES	19314893955	127913205	151.0	6.227019028	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/c920bfaf-7092-4aa8-b137-2fdc0e994551_TB-000031-R1WBLL-01_WES	dg.4DFC/c920bfaf-7092-4aa8-b137-2fdc0e994551
TB-000031-R1WBLL-01_WGS	60485107375	400563625	151.0	19.50007675	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/6cc4c635-8682-4b2f-a6a2-886a4159a646_TB-000031-R1WBLL-01_WGS	dg.4DFC/6cc4c635-8682-4b2f-a6a2-886a4159a646
TB-000031-R1WBLL-01_WGS	60485107375	400563625	151.0	19.50007675	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/c1116478-84cb-445f-9978-6403900d0642_TB-000031-R1WBLL-01_WGS	dg.4DFC/c1116478-84cb-445f-9978-6403900d0642
TB-000031-R1WBLL-01_WES	33682834613	253393777	132.9268422	10.85916664	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/1ebd006d-eea5-4a74-b685-75c13af70a38_TB-000031-R1WBLL-01_WES	dg.4DFC/1ebd006d-eea5-4a74-b685-75c13af70a38
TB-000031-R1WBLL-01_WGS	114000000000	757958727	149.9962861	36.65337149	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/3c15c20d-c19e-4d64-b609-c6c18215c9c0_TB-000031-R1WBLL-01_WGS	dg.4DFC/3c15c20d-c19e-4d64-b609-c6c18215c9c0
TB-000031-R1WBLL-01_WES	33682834613	253393777	132.9268422	10.85916664	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/9dde4d99-e389-42c5-bfb8-933c78109780_TB-000031-R1WBLL-01_WES	dg.4DFC/9dde4d99-e389-42c5-bfb8-933c78109780
TB-000031-R1WBLL-01_WGS	114000000000	757958727	149.9962861	36.65337149	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/6f456889-6f38-405b-8e0f-6044d077e83c_TB-000031-R1WBLL-01_WGS	dg.4DFC/6f456889-6f38-405b-8e0f-6044d077e83c
TB-000031-R1WBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/abbe8836-6e03-4d93-92b8-98ff0ee704bf_TB-000031-R1WBLL-01_WES	dg.4DFC/abbe8836-6e03-4d93-92b8-98ff0ee704bf
TB-000031-R1WBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/b3d67be6-35da-4a67-9492-940de1c0d080_TB-000031-R1WBLL-01_WGS	dg.4DFC/b3d67be6-35da-4a67-9492-940de1c0d080
TB-000031-R1WBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/c8e4354e-2672-4e3f-9606-94f567a715dc_TB-000031-R1WBLL-01_WES	dg.4DFC/c8e4354e-2672-4e3f-9606-94f567a715dc
TB-000031-R1WBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/2c12eb29-73f9-49d9-b0a2-7a46a398fa7a_TB-000031-R1WBLL-01_WGS	dg.4DFC/2c12eb29-73f9-49d9-b0a2-7a46a398fa7a
TB-000031-R1WBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/6e3aed47-6848-4fd5-aefa-116491f06380_TB-000031-R1WBLL-01_WES	dg.4DFC/6e3aed47-6848-4fd5-aefa-116491f06380
TB-000031-R1WBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/cdfacbe4-988d-4c49-ad64-7daa5fe093fb_TB-000031-R1WBLL-01_WGS	dg.4DFC/cdfacbe4-988d-4c49-ad64-7daa5fe093fb
TB-000031-R1WBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/1791f0a6-df31-4878-bb87-03f8015b743c_TB-000031-R1WBLL-01_WES	dg.4DFC/1791f0a6-df31-4878-bb87-03f8015b743c
TB-000031-R1WBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma with t(v;11q23.3); KMT2A-rearranged Tumor Sample TB-000031-R1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/0e872690-0472-454c-83f3-db8a5dec2c9f_TB-000031-R1WBLL-01_WGS	dg.4DFC/0e872690-0472-454c-83f3-db8a5dec2c9f
TB-000033-D1WBLL-01_WES	859200088	107400011	8.0	0.277001536	GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/af8be094-3287-46da-b360-d1970dc7084f_TB-000033-D1WBLL-01_WES	dg.4DFC/af8be094-3287-46da-b360-d1970dc7084f
TB-000033-D1WBLL-01_WES	16217401661	107400011	151.0	5.228403995	GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/c12cdd56-37fa-4ed8-beb6-f4947af3c0aa_TB-000033-D1WBLL-01_WES	dg.4DFC/c12cdd56-37fa-4ed8-beb6-f4947af3c0aa
TB-000033-D1WBLL-01_WES	16217401661	107400011	151.0	5.228403995	GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/a8ced1dd-8b64-4b6c-a6e6-008a5cfd0ae6_TB-000033-D1WBLL-01_WES	dg.4DFC/a8ced1dd-8b64-4b6c-a6e6-008a5cfd0ae6
TB-000033-D1WBLL-01_WGS	84611483148	560340948	151.0	27.27829191	GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/6a2a495d-2ff4-4a31-a4bb-527c3817e4c1_TB-000033-D1WBLL-01_WGS	dg.4DFC/6a2a495d-2ff4-4a31-a4bb-527c3817e4c1
TB-000033-D1WBLL-01_WGS	84611483148	560340948	151.0	27.27829191	GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/cc19b837-5346-42b5-9474-1328fac7833d_TB-000033-D1WBLL-01_WGS	dg.4DFC/cc19b837-5346-42b5-9474-1328fac7833d
TB-000033-D1WBLL-01_WES	28271649839	213032269	132.7106451	9.114629462	GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/3644e839-a746-42b0-85f1-7eb8430ee6f6_TB-000033-D1WBLL-01_WES	dg.4DFC/3644e839-a746-42b0-85f1-7eb8430ee6f6
TB-000033-D1WBLL-01_WGS	159000000000	1058128788	149.9787436	51.16301227	GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/a9bde065-7dc1-4946-be5c-628aa04e9bf0_TB-000033-D1WBLL-01_WGS	dg.4DFC/a9bde065-7dc1-4946-be5c-628aa04e9bf0
TB-000033-D1WBLL-01_WES	28271649839	213032269	132.7106451	9.114629462	GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/860da77b-d4f0-4a76-84ae-b73dadd6a914_TB-000033-D1WBLL-01_WES	dg.4DFC/860da77b-d4f0-4a76-84ae-b73dadd6a914
TB-000033-D1WBLL-01_WGS	159000000000	1058128788	149.9787436	51.16301227	GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/5a53627c-a983-4982-b79e-21fa74744b01_TB-000033-D1WBLL-01_WGS	dg.4DFC/5a53627c-a983-4982-b79e-21fa74744b01
TB-000033-D1WBLL-01_WES					GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/7af6f52e-91eb-49dc-8b24-cfc79bce9715_TB-000033-D1WBLL-01_WES	dg.4DFC/7af6f52e-91eb-49dc-8b24-cfc79bce9715
TB-000033-D1WBLL-01_WGS					GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/b2976c6f-96bd-40a9-813a-d48d9195d88c_TB-000033-D1WBLL-01_WGS	dg.4DFC/b2976c6f-96bd-40a9-813a-d48d9195d88c
TB-000033-D1WBLL-01_WES					GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/2b8b86f7-5077-457d-a51f-cd13df63bff1_TB-000033-D1WBLL-01_WES	dg.4DFC/2b8b86f7-5077-457d-a51f-cd13df63bff1
TB-000033-D1WBLL-01_WGS					GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/29af48a1-a83f-4b12-9ca2-3a1009e08b1b_TB-000033-D1WBLL-01_WGS	dg.4DFC/29af48a1-a83f-4b12-9ca2-3a1009e08b1b
TB-000033-D1WBLL-01_WES					GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/690076f0-d84e-4cef-8c48-02166c1e6993_TB-000033-D1WBLL-01_WES	dg.4DFC/690076f0-d84e-4cef-8c48-02166c1e6993
TB-000033-D1WBLL-01_WGS					GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/2a44e197-cf2e-4ff8-90ac-b75d56aba0a2_TB-000033-D1WBLL-01_WGS	dg.4DFC/2a44e197-cf2e-4ff8-90ac-b75d56aba0a2
TB-000033-D1WBLL-01_WES					GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/de10a5e5-b973-4f3c-88e5-5e5ed4ee5274_TB-000033-D1WBLL-01_WES	dg.4DFC/de10a5e5-b973-4f3c-88e5-5e5ed4ee5274
TB-000033-D1WBLL-01_WGS					GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Tumor Sample TB-000033-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/c1b9b894-bd7e-4af0-be73-f27e9500c961_TB-000033-D1WBLL-01_WGS	dg.4DFC/c1b9b894-bd7e-4af0-be73-f27e9500c961
TB-000033-M1BBLL-01_WES	1064022824	133002853	8.0	0.343035296	GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/c1cfda56-f025-4335-a153-1539e0c35b8d_TB-000033-M1BBLL-01_WES	dg.4DFC/c1cfda56-f025-4335-a153-1539e0c35b8d
TB-000033-M1BBLL-01_WES	20083430803	133002853	151.0	6.474791218	GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/60a9f06e-d93d-4fbc-9609-d4d423910955_TB-000033-M1BBLL-01_WES	dg.4DFC/60a9f06e-d93d-4fbc-9609-d4d423910955
TB-000033-M1BBLL-01_WES	20083430803	133002853	151.0	6.474791218	GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/b4e9f083-d7cc-46a6-b89d-74cb153ae8e8_TB-000033-M1BBLL-01_WES	dg.4DFC/b4e9f083-d7cc-46a6-b89d-74cb153ae8e8
TB-000033-M1BBLL-01_WGS	67169777413	444832963	151.0	21.6551788	GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/3ccce244-9f8b-49e4-a4f9-b6dc6b9e8f6f_TB-000033-M1BBLL-01_WGS	dg.4DFC/3ccce244-9f8b-49e4-a4f9-b6dc6b9e8f6f
TB-000033-M1BBLL-01_WGS	67169777413	444832963	151.0	21.6551788	GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/6face6a5-84dc-4493-9c5d-c0b4c0ab5ed3_TB-000033-M1BBLL-01_WGS	dg.4DFC/6face6a5-84dc-4493-9c5d-c0b4c0ab5ed3
TB-000033-M1BBLL-01_WES	35041141434	263844823	132.8096608	11.29707753	GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/6f57dbbb-7201-4874-8c77-2c1c0a948b96_TB-000033-M1BBLL-01_WES	dg.4DFC/6f57dbbb-7201-4874-8c77-2c1c0a948b96
TB-000033-M1BBLL-01_WGS	125000000000	837835066	149.7323754	40.44474599	GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/c88b329d-05b6-4d2a-917d-9206feeafccf_TB-000033-M1BBLL-01_WGS	dg.4DFC/c88b329d-05b6-4d2a-917d-9206feeafccf
TB-000033-M1BBLL-01_WES	35041141434	263844823	132.8096608	11.29707753	GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/3ef5e1c5-65dc-4e02-93f5-35627649bb4f_TB-000033-M1BBLL-01_WES	dg.4DFC/3ef5e1c5-65dc-4e02-93f5-35627649bb4f
TB-000033-M1BBLL-01_WGS	125000000000	837835066	149.7323754	40.44474599	GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/536adf56-e9b8-4c26-8487-4999d5c2be00_TB-000033-M1BBLL-01_WGS	dg.4DFC/536adf56-e9b8-4c26-8487-4999d5c2be00
TB-000033-M1BBLL-01_WES					GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/50afd83e-aa56-41c8-83ef-a1dc0f7906ae_TB-000033-M1BBLL-01_WES	dg.4DFC/50afd83e-aa56-41c8-83ef-a1dc0f7906ae
TB-000033-M1BBLL-01_WGS					GRCh37	WGS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/50757dc6-cfe1-48a2-94da-ccf2a564f706_TB-000033-M1BBLL-01_WGS	dg.4DFC/50757dc6-cfe1-48a2-94da-ccf2a564f706
TB-000033-M1BBLL-01_WES					GRCh37	WXS of Precursor B-Cell Acute Lymphoblastic Leukemia with hyperdiploidy Normal Sample TB-000033-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/cba8466d-6375-487a-95f5-8e0edf7a4ca9_TB-000033-M1BBLL-01_WES	dg.4DFC/cba8466d-6375-487a-95f5-8e0edf7a4ca9
