type	pdx_id	model_id	mouse_strain	sample_type_for_implantation	implantation_type	implantation_site	tumor_confirmed_not_to_be_mus_or_ebv_origin	is_tumor_from_untreated_patient	passage_number	passages_tested	validation_technique	id	study.id	sample.id
pdx	ICb-9850PNET_pdx	ICb-9850PNET_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				690710ea-c797-5e10-a45c-27b7404e57b4		90e168a0-4d93-5786-a146-851b676b791a
pdx	NCH-ARMS-2-NCH-S13-7484_pdx	NCH-ARMS-2-NCH-S13-7484_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				69496729-b0ed-5972-9323-e86b5515dfe7		7f241eef-e04b-5df6-9ac7-3b0431182d65
pdx	ICb-J1017MB_pdx	ICb-J1017MB_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				6a0f9fee-572c-5ca7-bc86-1b06beb8419a		c3b84d6c-e6ae-50cf-8a84-a7cc7157934c
pdx	ALL-88_pdx	ALL-88_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				6a6998aa-c38f-5c60-bf76-835a4c033e95		97ab976a-9dc5-56fe-9034-ff52c0107998
pdx	G401_pdx	G401_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				6ab8b084-5467-5c6d-943f-fee341c5469c		be512471-1f94-56a0-b68e-ca8d24d75710
pdx	COG-N-628x_pdx	COG-N-628x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				6def32f6-589b-5657-bab0-a074952eea28		5597d35c-6b46-5ee5-9124-b4adf9a18a6f
pdx	ICb-1343ENB_pdx	ICb-1343ENB_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				6e1af9b9-d93e-58d8-b5a4-fd2dda92c20d		1190815a-96c8-55c7-9ed9-475d59ad17f3
pdx	ETP-6_pdx	ETP-6_pdx	NSG (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				6f49be0c-b79e-50c8-9f2a-16d3b0ad4472		17674b96-ed54-59fc-9c2e-4c596154eb92
pdx	ICb-2164MB_pdx	ICb-2164MB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				6f68d58d-527c-5a84-8dea-04b1e108caf1		15cafb31-bb44-5ed4-a7e7-d062d91e4fdd
pdx	KT-12_pdx	KT-12_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				705acf7a-429d-5aeb-bda1-9d20f4f7c001		267ffcc1-2ae1-5254-8f85-f3b7266cd344
pdx	ALL-85_pdx	ALL-85_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				70612634-9881-5053-b74b-6cf1d948078d		722c7d26-71b6-5266-997b-498863d55259
pdx	BT-27_pdx	BT-27_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				709157b1-9d31-5dab-a9d6-3d69db345fdb		fd08904d-4dba-5c1e-9cfe-7501cb37fffb
pdx	COG-N-519x_pdx	COG-N-519x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				710b9b48-15ce-5d64-bb3d-6046e9f06403		b61bc56c-b508-5ed1-8573-2509398b4883
pdx	NCH-RBD-2_pdx	NCH-RBD-2_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				72c0286a-10ae-5cbb-b0b3-a2d7899b7761		d0d99cc9-82b1-511c-b505-102da1947e2e
pdx	EW-8_pdx	EW-8_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				747abd5e-f6d8-5f38-bda4-7020a08201d7		73688fad-e20b-50a0-b2e1-85bcad95cba6
pdx	PALTWS_pdx	PALTWS_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				75d8c4b1-9768-57a8-819f-c25380f12137		ceb77a66-318e-58ee-8df4-ed730bc3f8e5
pdx	COG-N-625x_pdx	COG-N-625x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				761dfe1b-7f9d-5e93-b64b-2a30a5f9dbab		080e2451-e657-5fa2-bef4-bea58a75128c
pdx	ETP-1_pdx	ETP-1_pdx	NOD/SCID and NSG (ABR) (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				76e51124-86ed-59c9-b170-2977768db3f9		47a3c830-0084-5dca-a1d7-f0317c9e3d1f
pdx	KT-8_pdx	KT-8_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				7829b250-e766-52a5-b049-ce09b54512e5		450e1ca4-db75-5e8b-a3b1-b35609303659
pdx	ALL-75_pdx	ALL-75_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				78671e6a-8b95-5115-93da-31d639aeff80		61d3143f-8600-5b86-b96f-98f3c4588dc8
pdx	PALNTB_pdx	PALNTB_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				7ab0def9-1014-5b69-942b-d40f4c631e65		da9c6dec-3ab5-5b9f-ab49-c9e0583f89fb
pdx	NCH-MN-1_pdx	NCH-MN-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				7bdf2562-1226-5536-a87f-c3889e996e6b		2546f88e-78d2-5078-bf4b-4e74afdd0a48
pdx	COG-N-549x_pdx	COG-N-549x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				7dd519c3-4fef-576d-9999-692732d21501		19607727-e3e6-564f-ad66-8c8fc34af977
pdx	OS-55-SBX_pdx	OS-55-SBX_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				7e49c085-48e7-59b7-9e96-495058402ab4		f874915f-b801-5fb3-889e-0eafe9fe38a1
pdx	ASPS-KY_pdx	ASPS-KY_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				7ef9cc42-adeb-545a-93ef-dc1a064c217f		71b29260-e06e-5b94-9bdf-8e222cb81211
pdx	ETP-3_pdx	ETP-3_pdx	NSG (ABR) (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				80442aba-22de-5bbc-a140-db3f727441fe		6dc1128b-59c6-5d73-97dd-f9ffc560848b
pdx	ALL-59_pdx	ALL-59_pdx	NOD/SCID and NSG (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				80fbed8a-8e4e-5656-a5ab-7975253b9904		4941999e-b034-501b-8acc-79e4bb97ade4
pdx	Rh-12_pdx	Rh-12_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				81033526-7cde-553e-be66-40c111480234		baf87b2d-944c-5836-95c1-acaacbea4042
pdx	ALL-27_pdx	ALL-27_pdx	NOD/SCID and 3KO (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				815f412d-4bf8-5326-8d9d-13597ffd83c1		f67eb307-85f2-5d49-9a37-50ff8d390372
pdx	OS-33_pdx	OS-33_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				82b62383-a3f5-5cb8-9912-c4cb510a1d86		de33d64f-8449-5079-9076-e21ca48d93e7
pdx	ALL-19_pdx	ALL-19_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				8413b200-e76b-569c-90c4-a334f40e5d39		f9d32382-1a10-5813-8aee-45c531d531ae
pdx	ICb-1218ATRT_pdx	ICb-1218ATRT_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				857f0540-66fc-5e31-86df-1f3e4705bb94		c0a13444-f930-5425-9e1f-e2151e946d49
pdx	PAKRSL_pdx	PAKRSL_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				8725461a-0a0f-5977-ad97-816d8b3a9ae9		c6dc37d2-8517-52f8-be2d-be60b513ba3c
pdx	OS-46-AOX_pdx	OS-46-AOX_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				89785d2e-bbcc-5e74-9aae-0ff7e23fe6da		2e27e6c3-1118-5423-8383-c9b050e9796e
pdx	NB-EBc1_pdx	NB-EBc1_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				89aca80f-fcae-5340-a926-2bf75a1840e8		7acda5e9-2ea6-56cd-9b10-ed432ed5a0b7
pdx	ES-8_pdx	ES-8_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				89b77a69-e919-514d-9ebf-624fef8bc0c4		62eddc3a-6676-52ce-8f2c-82de957ff618
pdx	IC-3635PXA_pdx	IC-3635PXA_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				8b0c507d-277e-54f8-89c3-8c3d0f2269b8		0a1eb121-1fc3-5cbb-a59e-ac8feb5adcc8
pdx	Rh-65_pdx	Rh-65_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				8c06fd4f-6674-59ee-986a-0572939e4ae8		f6dffe77-0512-599f-a139-06f7396bf898
pdx	ETP-5_pdx	ETP-5_pdx	NSG (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				8d385c84-9e2d-575d-981d-24c37000bd96		6243d3c5-a69a-5b5f-828c-b6e1d9619465
pdx	ALL-60_pdx	ALL-60_pdx	NOD/SCID and NSG (ABR) (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				8edf9555-bda5-5e7c-b591-764ede4c56d5		ea9f8f0b-1124-54e2-95fb-1b99a32a649f
pdx	ALL-29_pdx	ALL-29_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				90f0321f-55b7-5962-824b-b14fd8739db2		bfcd601c-f6d0-507f-85f6-514ff82c02e9
pdx	COG-N-624x_pdx	COG-N-624x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				91fffce0-7f4c-5520-81d5-9ee676635bad		9bf0744b-9d31-5f45-9a54-bed203d8deec
pdx	ICb-1572MB_pdx	ICb-1572MB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				9419e310-9967-533a-a603-ca5e172b016b		d138970d-0105-59b5-bd9c-ffd187de072d
pdx	ALL-10_pdx	ALL-10_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				948b8ec3-21aa-51e5-a636-073a1d971b00		62182ff6-92d3-5981-aa9a-befd45188ff4
pdx	KT-14_pdx	KT-14_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				94e580fb-6ba6-54e6-931e-5f7008220504		d859d33b-50be-5782-b76b-8fcf5b4ef7dc
pdx	MLL-14_pdx	MLL-14_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				950cf152-4df2-57a6-a19f-d29dbbec330f		3b4d6ec0-49ac-5623-9501-80dd5e2653de
pdx	COG-N-557x_pdx	COG-N-557x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				956e9b73-ded1-51fd-a121-22d20dae8cd6		0e6b6c02-aca2-5fa6-a8e1-5bb8b22f2be9
pdx	ALL-81_pdx	ALL-81_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				9979c0eb-5bd2-54c9-8f5f-7758d6b2093f		2aa80dcb-5b8a-5934-948b-8b16fa565919
pdx	ICb-1338MB_pdx	ICb-1338MB_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				9a2cc902-9501-556a-aa93-fc8448220804		d8ae08a2-b8a6-589d-be95-1988335891de
pdx	Rh-41_pdx	Rh-41_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				9b4a55e5-dae8-53d3-a6f3-9d4fa5234862		9969c0fa-f227-5767-b5f6-39c1796c74e5
pdx	OS-52-SJ_pdx	OS-52-SJ_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				9c7ecad9-08b3-5434-8bfe-6da0d4c66351		457584d9-f08a-5341-a79f-78a730ad54ec
pdx	NCH-WT-7_pdx	NCH-WT-7_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				9cead0f4-2faf-56f8-b0a9-e812dec526b6		cbea1650-aff3-551a-b995-2a45c0229e91
pdx	ALL-31_pdx	ALL-31_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				9d8f691a-6426-54ce-a9d0-198662b9b70c		7ca97990-7111-5a24-bcc8-c1e283b70259
pdx	NCH-WT-8-S13-3700_pdx	NCH-WT-8-S13-3700_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				9d94c25a-f80f-54fc-a584-540a98339909		a1c2f23a-11c1-587a-b8aa-7710874c4358
pdx	ICb-1595MB_pdx	ICb-1595MB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				a12d75c7-5120-5c5c-a023-4785afb28e1c		7e990a04-ad7a-5356-8fe7-64058c7008fd
pdx	ICb-1487MB_pdx	ICb-1487MB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				a1a91916-73f7-576c-a80a-5a3bfbc52c03		7c9290e2-d819-592c-a3f5-94bce304f86a
pdx	NB-1382_pdx	NB-1382_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				a2ae070b-f766-58cb-9275-0ba651029c55		04ae444f-2226-5f40-ba83-7ab788f41d54
pdx	MLL-6_pdx	MLL-6_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				a3133a11-fa01-5a27-b7f7-6318b1917979		4421f1ad-1868-52d9-ac14-e65dbd609925
pdx	NCH-RBD-4_pdx	NCH-RBD-4_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				a3555fa5-2d60-5ac9-827a-f4148417a7eb		4a904e8d-e471-5f93-a967-df644e37f76e
pdx	NCH-CCS-1_pdx	NCH-CCS-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				a54ef66e-8c39-5e0b-96d0-81335459119d		dc8a3200-1c70-5a7a-8fc8-4994c9bb520f
pdx	OS-56_pdx	OS-56_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				a669f9e9-fb7d-524c-97f7-31932e51b060		76b8f47b-f04a-52cc-9da5-eb1dc2b10477
pdx	COG-N-619x_pdx	COG-N-619x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				a845d800-20e6-51d3-bac3-d5f5554e407f		d5e8151a-a5c7-55f9-aad6-35a9e41e1519
pdx	ALL-115_pdx	ALL-115_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				a8e0b475-ae1b-5443-8b11-64f06f255aa9		5616e824-69f5-5e55-af7a-8e4dc9b2dc31
pdx	IC-22909PNET-rIII_pdx	IC-22909PNET-rIII_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				a9e398c6-dba1-5390-869f-50767effac4b		f5ec7fab-ec41-53ec-ae54-671d74f34d2a
pdx	NCI-ASPS_pdx	NCI-ASPS_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				abe871ca-35bd-5306-b67b-cd47bbcf9158		dd39c810-b56c-5305-87f9-319c3b09a6e9
pdx	IC-3704GBM_pdx	IC-3704GBM_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				ad5e7269-b62a-5ec2-8da5-e957d9777c8b		ce9866a8-a653-5205-b0a0-dedf23256e6e
pdx	ALL-91_pdx	ALL-91_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				add5e641-a53f-574e-98a5-c8ebcdcfcb96		ac049645-ba86-583f-915e-98d7ab813165
pdx	COG-N-603x_pdx	COG-N-603x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				ae0a4214-690b-53d0-8227-a56eb38b4480		5f724c25-5289-5f4a-bc43-02dc89103125
pdx	IC-9635EPN_pdx	IC-9635EPN_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				ae4ade98-588f-5c7a-9ccc-f69f0830de92		04c4e87d-cb19-5b50-8b2b-6de864bb672c
pdx	ICb-S1129MB_pdx	ICb-S1129MB_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				ae9ef2c4-d565-5e59-8a82-fb1e7e4866ec		e7443c21-14c4-5014-8e50-4ba3e8bd9f80
pdx	NCH-PXA-1_pdx	NCH-PXA-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				aecd62f6-4c1d-5ccd-9022-652ba243ad96		138a8960-2755-59eb-b8e6-f309cbd3340f
pdx	KT-13_pdx	KT-13_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				af0dd9de-fad0-5f99-83d7-a12dfd068cef		462aa8e2-4df2-5182-9dc7-407708ad0119
pdx	PALJDL_pdx	PALJDL_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				afcb4544-e67f-5318-b7f8-8d98143997f5		10b09add-a008-50f0-8131-6afee69b9573
pdx	OS-17_pdx	OS-17_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				b08c4eba-ee14-53e3-9164-d14fceadf0dc		0d68edbe-6785-5558-b02c-450467dc3859
pdx	OS-34-SJ_pdx	OS-34-SJ_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				b114b159-e3ac-50da-a594-ef4737f2eb1e		bc369e01-d7fb-53de-8973-e35a98662d32
pdx	NCH-CA-1_pdx	NCH-CA-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				b369726a-507a-59e8-927a-e7dc58cb936c		c3de1195-72ea-57c9-90ec-37b6723ec53e
pdx	ICb-5323EPN_pdx	ICb-5323EPN_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				b400672b-0b00-5afb-9b0c-076f36a7001e		13813e1c-57d7-52d2-9a7e-e1c33092700a
pdx	Rh-70_pdx	Rh-70_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				b422df4c-c754-5387-9efd-2c13be761fd3		785fbd73-6684-58f7-9a3f-728976414d4d
pdx	ALL-80_pdx	ALL-80_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				b55fab44-3af6-565b-b2d9-852adf99a18c		0ab6f720-e05a-5d88-ad07-f23094c48c36
pdx	OS-60_pdx	OS-60_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				b56a6f26-3693-5a96-9e3c-5a73422cd66c		0b97fd20-ffad-5237-87e9-d04c296cff22
pdx	MLL-86_pdx	MLL-86_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				b576bc4a-361d-55ad-8b07-47f058779d15		50922499-dfa9-50fc-930a-09dedc9d0e07
pdx	ALL-08_pdx	ALL-08_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				b622abda-6b4d-5af8-89c2-c17b1e96eb79		e0a98b98-1c2b-5382-afbf-7b3eba351ad7
pdx	IC-9811EPN_pdx	IC-9811EPN_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				b760f10e-1035-51aa-a868-d5f0b188b6bf		6a033104-7919-5559-b0c0-f332320f8d73
pdx	ALL-84_pdx	ALL-84_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				baf03e49-f146-597e-9b16-13f198c0f627		2082dd4e-d4b4-580f-b16f-dbeb96108e7a
pdx	OS-31_pdx	OS-31_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				bbdced54-eef0-5c20-aef5-a5ca984c4744		c074942e-fef7-5c26-9339-b13ccd031905
pdx	Rh-30R_pdx	Rh-30R_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				bc2c812f-f1f8-51a0-8366-f69a2d066b45		d1355d70-25b6-5db7-9883-af027978a149
pdx	OS-46_pdx	OS-46_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				bd1570d0-a8a7-519e-8ac1-3d0948385a39		616a77ed-6074-5fb7-b687-ea3199870156
pdx	IC-2664PNET_pdx	IC-2664PNET_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				becdee30-b190-56e2-b5b8-5a59f7a689a8		de01426b-3d3d-59e5-89dd-5cc392f1eea8
pdx	IRS-56_pdx	IRS-56_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				bf81f032-87a4-5bc0-9195-c1addf596e8c		26d0cb71-a412-598a-98df-0019f5882796
pdx	COG-N-564x_pdx	COG-N-564x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				bfe16f5b-fdeb-5b4b-8f6d-34aa0e364b62		b0382237-bf51-5d60-9694-5f3c0408f39b
pdx	ALL-52_pdx	ALL-52_pdx	NOD/SCID and NSG (ABR) (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				bfe4f962-a062-5717-a3f3-168bb59cee4a		50ed8802-7bb3-57e4-a762-a11b3ab5c9a4
pdx	OS-56-TTX_pdx	OS-56-TTX_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				c004f4ec-e421-58ac-8277-203089f77383		8fc27a27-ac58-5b90-9879-c47a535728c6
pdx	ALL-108_pdx	ALL-108_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				c00b9e0f-587a-5d94-87b3-7dbab71ab458		9e011b79-9c20-580f-b184-5e5d768da39a
pdx	PAMDRM_pdx	PAMDRM_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				c0afefdb-7d54-5a01-ab60-0ee524614cb1		ae05ce88-aca1-59c6-b263-9cc00866f956
pdx	ICb-5610MB_pdx	ICb-5610MB_pdx	RAG1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				c0b0bd76-27c4-50ce-a5cd-586bb20ccb7d		7db56df3-7248-5fc0-8084-dae55451c428
pdx	MLL-2_pdx	MLL-2_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				c1f0c501-83df-5b9a-99e5-ac04e70860f2		49badc5a-200e-5c8e-9f85-44f76963f727
