type	case.case_id	study.clinical_study_designation	sample.sample_id	diagnosis.diagnosis_id	file_name	file_type	file_description	original_file_size	original_md5sum
file			STS01-T311		T311_Star_Aligned.sortedByCoord.out.bam.bai	Index File	RNAseq reads to CanFam3.1 - STS01-T311 tumor	3180496	b4495a4c1b96930d485e9b99b3889721
file			STS01-T320		T320_Star_Aligned.sortedByCoord.out.bam	RNA Sequence File	RNAseq reads to CanFam3.1 - STS01-T320 tumor	6316653326	fe8f0ddeb807fb4063697df71fddcf9b
file			STS01-T320		T320_Star_Aligned.sortedByCoord.out.bam.bai	Index File	RNAseq reads to CanFam3.1 - STS01-T320 tumor	3168152	4efd16dc0e831604d0831ff3e4fef93e
file			STS01-T336		T336_Star_Aligned.sortedByCoord.out.bam	RNA Sequence File	RNAseq reads to CanFam3.1 - STS01-T336 tumor	5771134469	4c5b482788afbc400f3b1f41593dd5e7
file			STS01-T336		T336_Star_Aligned.sortedByCoord.out.bam.bai	Index File	RNAseq reads to CanFam3.1 - STS01-T336 tumor	3053280	80731f22da024ae6ca6b252772ad3ceb
file			STS01-T344		T344_Star_Aligned.sortedByCoord.out.bam	RNA Sequence File	RNAseq reads to CanFam3.1 - STS01-T344 tumor	6382771692	73c283d3b6ecc5aa33ccaa50223b313c
file			STS01-T344		T344_Star_Aligned.sortedByCoord.out.bam.bai	Index File	RNAseq reads to CanFam3.1 - STS01-T344 tumor	3300792	dfed70e8fcdd94b876f35a1e7c87ba68
file			STS01-T416		T416_Star_Aligned.sortedByCoord.out.bam	RNA Sequence File	RNAseq reads to CanFam3.1 - STS01-T416 tumor	6063538502	34493281a24a015a2734517b8dfb6241
file			STS01-T416		T416_Star_Aligned.sortedByCoord.out.bam.bai	Index File	RNAseq reads to CanFam3.1 - STS01-T416 tumor	3257392	aef8c03fd3dc201da7799e0d1321390b
file			STS01-T479		T479_Star_Aligned.sortedByCoord.out.bam	RNA Sequence File	RNAseq reads to CanFam3.1 - STS01-T479 tumor	4984438833	f93b5a74d3959e5bc1f57f2a9c8974dc
file			STS01-T479		T479_Star_Aligned.sortedByCoord.out.bam.bai	Index File	RNAseq reads to CanFam3.1 - STS01-T479 tumor	2859360	48864d4e8ade0dc1b81d685546d1cd12
file			STS01-T485		T485_Star_Aligned.sortedByCoord.out.bam	RNA Sequence File	RNAseq reads to CanFam3.1 - STS01-T485 tumor	5127298084	72a42a8619ad9662129c6e8efd2cbe73
file			STS01-T485		T485_Star_Aligned.sortedByCoord.out.bam.bai	Index File	RNAseq reads to CanFam3.1 - STS01-T485 tumor	3234568	f4f459ea9fd4dbd86f9efa453d1014f2
file			STS01-T697		T697_Star_Aligned.sortedByCoord.out.bam	RNA Sequence File	RNAseq reads to CanFam3.1 - STS01-T697 tumor	5175264526	73d4f8a9c859b9082d4c3636c7ac9fec
file			STS01-T697		T697_Star_Aligned.sortedByCoord.out.bam.bai	Index File	RNAseq reads to CanFam3.1 - STS01-T697 tumor	2984184	c83576e31f248177ce7005578f2ae091
file			STS01-T738		T738_Star_Aligned.sortedByCoord.out.bam	RNA Sequence File	RNAseq reads to CanFam3.1 - STS01-T738 tumor	5383857987	af60b74e5a58a52ddd374ea7f7f6edcf
file			STS01-T738		T738_Star_Aligned.sortedByCoord.out.bam.bai	Index File	RNAseq reads to CanFam3.1 - STS01-T738 tumor	3025336	01cb9f3ec80020d80f082a62eb4ce6c6
